title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tazkiyah The Islamic Path of Self Development,"There is hardly any book in English that covers self-development from an authentic Islamic perspective. Yet, tazkiyah, self-development, lies at the core of Islamic life and there is need for a practical manual in English to assist those who want to achieve self-development by purifying their souls and actions. This anthology has been compiled to meet this need, by translating works that originally appeared in Urdu. It includes key contributions presented by well-known leaders of the Islamic Movement: Mawlana Mawdudi, Ustadh Khurram Murad and others.",,Multi Media->Audio->Audio Books,10,4.21,4.21,4.21,0.05,,,,9.78086E+12,9780860373490.jpg,Paperback|Abdur Rashid Siddiqui|2004|240|The Islamic Foundation,non-taxable,zero-rate
First Principles of Islamic Economics ,"Abul Ala Mawdudi (1903 - 79), one of the leading Muslim intellectuals of the twentieth century, laid down the foundations of modern Islamic economics. Drawing upon Islamic sources, Mawdudi spelled out major elements of a new paradigm for economic analysis and policy, wherein economic pursuits take place in the context of moral values and directed towards achievement of personal and social objectives. Integral to this approach is the concept of non-usury which attempts to make efficiency and equity inseparable and interdependent. In an Islamic framework creation and distribution of wealth become instrumental in promoting individual and social well-being, opening up pathways to development, social justice and human welfare. This comprehensive anthology is an essential introduction to Islamic Economics.  Khurshid Ahmad, who edited the Urdu original, Maashiyat-i-Islam, has contributed a substantial new Foreword to this authoritative English Translation by Shafaq Hashemi.  ""Islamic economics in a modern setting has developed reapidly over recent decades. At the very foundation of this is the work of Sayyid Abul Ala Mawdudi which is gathered together in this book. It establishes the major tenets of the economics of Islam from its original historical and religious sources. This is an important text for all serious scholars of the subject."" - John Presley, Professor Emeritus of Economics, Loughborough University, recipient of the Islamic Development Bank Prize in Islamic Finance (2002).",,Books->Hadith & Seerah,10,8.95,8.95,8.95,0.43,,,,9.78086E+12,9780860374923.jpg,Paperback|Abul A'la Mawdudi|2011|289|The Islamic Foundation,non-taxable,zero-rate
Four Key Concepts of the Quran,"This book  elucidates these basic Quranic concepts: ilah, Rabb, Ibadah and Din in order to bring out fully the Islamic way of life, as distinct from other perspectives. This elaboration goes a long way in developing a sound understanding of the Quran. It also explains the man-God relationship in Islam, guiding Muslims on how to lead their lives in total surrender to Allah.",,Books->Children->Islamic Beliefs,10,1.95,1.95,1.95,0.06,,,,9.78086E+12,9780860375401.jpg,Paperback|Abul A'la Mawdudi|2006|174|The Islamic Foundation,non-taxable,zero-rate
Let Us Be Muslims,"This is a new revised and edited edition of Sayyid Mawdudi's Urdu Khutubat which cover themes such as Iman, Islam, the Prayer, Fasting, Almsgiving, Pilgrimage and Jihad.",,Books->Children->Islamic Beliefs,10,5.95,5.95,5.95,0.41,,,,9.78086E+12,9780860371571.jpg,Paperback|Abul A'la Mawdudi|1985|312|The Islamic Foundation,non-taxable,zero-rate
"The Islamic Movement: Dynamics of Values, Power and Change ","This concise but enormously valuable work lays down the nature, logic and dynamic of the Islamic movement in the context of Iman and Jihad.",,Books->Children->Young Adults (12+),10,2.25,2.25,2.25,0.07,,,,9.78086E+12,9780860371403.jpg,Paperback|Abul A'la Mawdudi|1984|144|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran - Abridged Version (ENGLISH ONLY),,,Books->Law & Jurisprudence,10,6.99,6.99,6.99,0.3,,,,9.78086E+12,9780860374169.jpg,Paperback|Abul A'la Mawdudi|2007||The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 1, Surahs 1-3) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Contemporary Fiction,10,3.95,3.95,3.95,0.12,,,,9.78086E+12,9780860371830.jpg,Paperback|Abul A'la Mawdudi|1988|396|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 2, Surahs 4-6) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->History,10,7.99,7.99,7.99,0.38,,,,9.78086E+12,9780860371878.jpg,Hardback|Abul A'la Mawdudi|1989|368|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 2, Surahs 4-6) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.29,,,,9.78086E+12,9780860371885.jpg,Paperback|Abul A'la Mawdudi|1989|368|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 3, Surahs 7-9)","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Information Books,10,3.95,3.95,3.95,0.24,,,,9.78086E+12,9780860372066.jpg,Hardback|Abul A'la Mawdudi|1990|344|The Islamic Foundation,non-taxable,zero-rate
