title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Animal Welfare in Islam,"This book attempts to bring out the kind and compassionate Islamic teachings regarding animal welfare. The Islamic instruction and guidance on animals needs and man's obligations concerning animals is so comprehensive that Muslims need not go elsewhere for any guidance. Not to be cruel or even to be condescendingly kind to the so-called inferior animals is a negative proposition. Islam wants its adherents to think and act in the positive terms of accepting all species as communities like us in their own right and not to sit in judgement on them according to our human norms and values. The book also examines animal sacrifice as practised by the adherents of major world religions. It raises the issue of the mass production of meat and exhorts the Muslim community, in the West particularly, to tackle the issue of Halal meat in an appropriate manner.",,Books->Children->Young Adults (12+),10,5.99,5.99,5.99,0.17,,,,9.78086E+12,9780860375951.jpg,Paperback|Al-Hafiz Basheer Ahmad Masri|2007|180|The Islamic Foundation,non-taxable,zero-rate
Animal Welfare in Islam,"This book attempts to bring out the kind and compassionate Islamic teachings regarding animal welfare. The Islamic instruction and guidance on animals needs and man's obligations concerning animals is so comprehensive that Muslims need not go elsewhere for any guidance. Not to be cruel or even to be condescendingly kind to the so-called inferior animals is a negative proposition. Islam wants its adherents to think and act in the positive terms of accepting all species as communities like us in their own right and not to sit in judgement on them according to our human norms and values. The book also examines animal sacrifice as practised by the adherents of major world religions. It raises the issue of the mass production of meat and exhorts the Muslim community, in the West particularly, to tackle the issue of Halal meat in an appropriate manner.",,Books->Economics,10,1.95,1.95,1.95,0.05,,,,9.78086E+12,9780860374114.jpg,Hardback|Al-Hafiz Basheer Ahmad Masri|2007|180|The Islamic Foundation,non-taxable,zero-rate
Inescapable Questions,"An autobiography of humbling modesty, providing details of the former president's personal strife and progressing onto the forming of the SDA and the break-up of the former Yugoslavia. The book also sheds light on the labyrinthine manipulations of the various signatories to the Dayton Agreement, not least in the return and non-return of refugees to their homes. Overall, a spellbinding read that will capture readers imaginations and respect from beginning to end.",,Books->Economics,10,19.95,19.95,19.95,0.62,,,,9.78086E+12,9780860373629.jpg,Hardback|Alija Izetbegovic|2002|560|The Islamic Foundation,non-taxable,zero-rate
Inescapable Questions ,"An autobiography of humbling modesty, providing details of the former president's personal strife and progressing onto the forming of the SDA and the break-up of the former Yugoslavia. The book also sheds light on the labyrinthine manipulations of the various signatories to the Dayton Agreement, not least in the return and non-return of refugees to their homes. Overall, a spellbinding read that will capture readers imaginations and respect from beginning to end.",,Books->Economics,10,14.95,14.95,14.95,0.5,,,,9.78086E+12,9780860373674.jpg,Paperback|Alija Izetbegovic|2002|560|The Islamic Foundation,non-taxable,zero-rate
Allah Gave Me Two Ears To Hear,"A wonderful account of the sense of hearing given to us by Allah, which can be explored endlessly with young, encouraging them to give thanks to our Creator. Includes 16 colour illustrators",,Books->Economics,10,12.95,12.95,12.95,0.43,,,,9.78086E+12,9780860373537.jpg,Hardback|Amrana Arif|2003|32|The Islamic Foundation|3+,non-taxable,zero-rate
Tales of Mercy,"Based on two stories from Hadith, this book successfully illustrates the importance of repentance for one's sins, and the all-encompassing mercy of God.",,Books->Economics,10,16.99,16.99,16.99,0.55,,,,9.78086E+12,9780860372219.jpg,Paperback|Anwar Cara|1992|36|The Islamic Foundation|8+,non-taxable,zero-rate
A Time to Speak: Anecdotes from Sadi Shirazi,"Classic fables and moral tales of the Persian master of verse, representing the wisdom of the East and the values of Muslim culture.",,Books->General,10,8.99,8.99,8.99,0.35,,,,9.78095E+12,9780950395432.jpg,Paperback|Ashraf abu Turab & Zia Sardar|1980|32|The Islamic Foundation|8+,non-taxable,zero-rate
"British Secularism and Religion. Islam, Society and the State","British Secularism and Religion: Islam, Society and the State provides an in-depth deliberation upon the now unsettled relationship between religion and politics in twenty-first century Britain, with an emphasis upon Islam, the UKs second largest religion, which is now at the centre of the debate about the nature and future of British secularism. Combining theological reflections and academic and policy perspectives, this topical collection includes contributions from Ted Cantle, Sunder Katwala, Maleiha Malik, Tariq Modood, Abdullah Sahin, Norman Solomon and Nick Spencer.    'This interesting, topical and sometimes heated, conversation among theologians, social scientists and policy experts on British secularism helps to shed vital light on the challenges of accommodating religious minorities and majorities within modern societies. The contributors question a number of received assumptions about the public role of religion, and also challenge traditional Muslim suspicions of secularism, thus succeeding in moving the debate on Islam in Britain, and secular polities in general, to new and very promising ground. This is a vital contribution to ongoing topical debates on secularism, pluralism, inclusion and the direction modern societies should take'. - Dr. Abdelwahab El-Affendi, University of Westminster    'Religious voices in favour of secularism are often absent from the debate on religion and politics. But as a political attitude that will guarantee freedom of belief for all, secularism is relevant to all. This volume - though non-religious secularists may find much to challenge within it - is a welcome contribution to this most important of modern debates'. - Andrew Copson, Chief Executive, British Humanist Association",,Books->General,10,6.99,6.99,6.99,0.21,,,,9.78185E+12,9781847740151.jpg,"Paperback|Ataullah Siddiqui, Yahya Birt and Dilwar Hussain|2011|117|Kube Publishing ",non-taxable,zero-rate
The Courageous Children,Six stories based on original sources illustrate the tremendous dedication and bravery of the young Companions of the Prophet in defending Islam.,,Books->The Quran,10,5.95,5.95,5.95,0.28,,,,9.78086E+12,9780860371946.jpg,Paperback|Ayesha Abdullah Scott|1989|40|The Islamic Foundation|10+,non-taxable,zero-rate
Rays of Truth: Poems on Islam,"A collection of inspirational poems on a variety of topics, especially suitable for young people. Decorated with Islamic calligraphy and patterns in pastel colours.",,Books->Contemporary Politics,10,6.99,6.99,6.99,0.4,,,,9.78086E+12,9780860372639.jpg,Paperback|Ayesha bint Mahmood|1997|56|The Islamic Foundation|8+,non-taxable,zero-rate
Thank You Oh Allah," Poetic reflections on Allah's never-ending blessings, inspiring gratitude to the Creator. Includes 19 colourful illustrations",,Books->General,10,9.99,9.99,9.99,0.34,,,,9.78086E+12,9780860373353.jpg,Hardback|Ayesha bint Mahmood|2000|24|The Islamic Foundation|3+,non-taxable,zero-rate
Allah Gave Me a Tongue To Taste,"A wonderful account of the sense of taste given to us by Allah, which can be explored endlessly with young children through popular food tastes, encouraging them to give thanks to our Creator. Includes 12 colour illustrations",,Books->General,10,7.95,7.95,7.95,0.11,,,,9.78086E+12,9780860373384.jpg,Hardback|Ayesha Jones|2003|32|The Islamic Foundation|3+,non-taxable,zero-rate
A Simple Guide to Prayer ,"Accompanied by a CD, this book has been prepared to assist you in your first steps towards learning and performing Salah, prayer in Islam. You are introduced to the concept of Prayer in Islam and its Divine origins through Prophets Abraham, Moses, Jesus and Muhammad, peace be upon them all. ",,Books->Children->Islamic Beliefs,10,5.95,5.95,5.95,0.39,,,,9.78086E+12,9780860374862.jpg,Paperback|Batool Al-Toma|2005|74|The Islamic Foundation,non-taxable,zero-rate
A Princess`s Pilgrimage,"A Princess Pilgrimage - A Pilgrimage to Mecca (1863-1864) In 1870, Nawab Sikander Begum of Bhopal became the first South-Asian Muslim woman to publish an account of her pilgrimage to Mecca. She travelled with a retinue of a thousand, visited Jeddah and Mecca, performed the requisite rituals and observances, then returned to India and wrote her witty and acerbic impressions of her visit. Reproduced here,this is the original English translation by the wife of a British colonial officer of an unpublished Urdu manuscript. It is accompanied by a critical Introduction and Afterword that make this offering a comprehensive resource on travel writing by South-Asian Muslim women, and encourage the reader- whether scholar, student or enthusiast - to rethink established understandings relating to travel writing colonialism and world history.",,Books->Children->Fiction - Read Aloud,10,2.5,2.5,2.5,0.06,,,,9.78185E+12,9781847740014.jpg,Paperback|Begum Nawab Sikandar|2007|254|Kube Publishing ,non-taxable,zero-rate
 What Should We Say?,"A sequel to What do We Say? A practical guide of some important daily Prayers taught by Prophet Muhammad (peace be upon him) in simple English. With accompanying Arabic text, notes and pronunciation guide.",,Books->Children->Fiction - Read Aloud,10,2.5,2.5,2.5,0.09,,,,9.78086E+12,9780860372677.jpg,Hardback|Compiled by A.R. Kidwai and F.M D'Oyen|1999|36|The Islamic Foundation|8+,non-taxable,zero-rate
A Picnic of Poems: In Allah's Green Garden Book +CD,"A wonderful collection of 30 poems to keep the young and young at heart entertained for hours. These poems cover a number of topics including: Motherhood, Daily Prayers, Baby siblings, Life on a farm, the animal kingdom, Bullying, Ramadan, Mosques, appreciating nature and more. This book comes with an audio CD  to sing along to these joyful yet educational poems. This book is a must for every household, a great contribution by Dawud Wharnsby.  ""Dawud's latest book is another masterpeice of poetry that captures the essence of every child's thoughts, hopes, dreams and fears, in the most colourful and imaginative way. It is a delectable treat for the whole family, filled with beautiful illustrations. Every part has a wonderful lesson to draw from and will provide all, young and old, with great guidance for generations to come."" - Zain Bhika, South African, singer/songwriter",,Books->Women & Family,10,9.95,9.95,9.95,0.4,,,,9.78086E+12,9780860374442.jpg,Hardback|Dawud Wharnsby|2011|44|The Islamic Foundation|5+,non-taxable,zero-rate
For Whom the Troubadour Sings,"Dawud Wharnsbys unconventional approaches to writing and religion challenge paradigms of how we look at our own lives in relation to others and the world through which we all journey. This book collects together all the lyrics that have inspired communities of all faiths around the world for over two decades. Dawuds work as a writer, inspired in part by his deep respect for spiritual scriptures and the Quran in particular.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78185E+12,9781847740113.jpg,Paperback|Dawud Wharnsby|2009|184|Kube Publishing |12+,non-taxable,zero-rate
Hannah and her Grandma,Award Winning Story.  An Engaging Story which brings home the Truth related to God's Creative Power and faith. The search for truth starts with Hannah a young and inteligent girl and her Grandma on a journey.,,Books->Children->Islamic Beliefs,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860374404.jpg,Hardback|Deborah A. Woodthorpe|2005|32|The Islamic Foundation|8+,non-taxable,zero-rate
Call to Prayer: The Story of Bilal,"This is the story of a young and inquisitive boy, Saeed, who engages Bilal, the first Muezzin of Islam, in conversation about his Call to prayer and his days with the Prophet Muhammad (pbuh).",,Books->Children->Islamic Beliefs,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860374565.jpg,Hardback|Edoardo Albert|2007|26|The Islamic Foundation|8+,non-taxable,zero-rate
Imam Al-Ghazali: A Concise Life ,"Imam Abu Hamid Al-Ghazali is a towering figure in Islam today. But did you know that during his lifetime he was a scholar, a saint and a penniless wanderer? In this short biography you will discover how Al-Ghazali rose from his humble background as a fatherless young boy from a small town, to become a successful student, a great teacher and the most famous thinker on Islam of his time. It also reveals why, after years of success, he left behind his prestigious position and his family, and became a penniless traveller trying to experience the peace of a content inner life.   Award-winning author, Edoardo Albert, brings this most extraordinary of Muslims to life for a new generation, demonstrating his enduring influence and importance for Islamic civilization and the wider world. With numerous extracts from Al-Ghazalis own autobiography carefully rendered into contemporary English this book makes the man many consider to be one the most important Muslims in history accessible to all. Illustrated throughout with photographs, pictures and maps, the rich and diverse world that produced Al-Ghazali is also brought vividly alive.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78185E+12,9781847740304.jpg,Paperback|Edoardo Albert|2012|104|Kube Publishing |12+,non-taxable,zero-rate
The Spider and the Doves ,"The Prophet Muhammad is besieged on all sides by his enemies. Then Allah sends him some unlikely helpers in the form of a pair of doves and a spider.  But what can i do? ""I am so small and weak, and now even my web is broken."" This is the re-telling of a classic true story from the Prophets life. It weaves a tale that shows how even the smallest of us can have a great destiny.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860374497.jpg,Hardback|Farah Morley|2011|32|The Islamic Foundation|4+,non-taxable,zero-rate
Animals,This beautifully illustrated book is an exciting and colourful introduction to the world of animals. Full colour 20 illustrations.,,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.26,,,,9.78086E+12,9780860373377.jpg,Hardback |Farah Sardar|2002|28|The Islamic Foundation|3+,non-taxable,zero-rate
Ibrahim Khan and the Mystery of the Haunted Lake,"The second book in a series of adventures. Ibrahim and Zayn find themselves challenged by an unexpected mystery during a class vacation at the beautiful, remote Camp Chimo. How can they catch the culprit and prove that the ghost terrifying their classmates is a hoax?",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860374237.jpg,Paperback|Farheen Khan|2011|72|The Islamic Foundation|5+,non-taxable,zero-rate
Allah Gave Me Two Eyes To See,"The wonders of all of our senses are introduced to children in simple rhyme, along with the most important gift of all, a heart with which to love and give thanks to God. ",,Books->Children->Contemporary Fiction,10,3.95,3.95,3.95,0.21,,,,9.78086E+12,9780860373667.jpg,Hardback|Fatima M. D'Oyen|2002|32|The Islamic Foundation|3+,non-taxable,zero-rate
The Miracle of Life: A Guide on Islamic Family Life and Sexual Health Education for Young People,"A practical guide on sexual health education and traditional family values for young Muslims growing up in today's world. Recommended for children between the ages of 8 and 13 as well as their parents and teachers. First book of its kind which tackles sex education from an Islamic perspective. The Miracle of Life…answers the genuine need for authentic Islamic input on the topic of moral and sexual health…The author has tackled almost every relevant topic with due decency, decorum and discretion.",,Books->Children->Fiction - Read Aloud,10,4.95,4.95,4.95,0.31,,,,9.78086E+12,9780860373551.jpg,Paperback -slipcase|Fatima M. D'Oyen|1996|114|The Islamic Foundation,non-taxable,zero-rate
The Miracle of Life: A Guide on Islamic Family Life and Sexual Health Education for Young People,"A practical guide on sexual health education and traditional family values for young Muslims growing up in today's world. Recommended for children between the ages of 8 and 13 as well as their parents and teachers. First book of its kind which tackles sex education from an Islamic perspective.   '....The Miracle of Life  answers the genuine need for authentic Islamic input on the topic of moral and sexual health…The author has tackled almost every relevant topic with due decency, decorum and discretion'. Fatma Amer Impact International",,Books->Children->Fiction - Read Aloud,10,4.95,4.95,4.95,0.32,,,,9.78086E+12,9780860373551.jpg,Paperback|Fatima M. D'Oyen|1996|112|The Islamic Foundation,non-taxable,zero-rate
In The Prophets Garden (A selection of Ahadith for the Young),"A thematically arranged anthology of Ahadith, sayings of the Prophet Muhammad (peace and blessings be upon him), fully illustrated with colour pictures of flowers and pictures from nature. Each hadith is taken from authentic collections in Arabic followed by a simple modern English translation which make the book easy to read and easy to understand.  Appropriate for home, madrasa and classroom use ",,Books->Children->Fiction - Read Aloud,10,4.95,4.95,4.95,0.32,,,,9.78086E+12,9780860373728.jpg,Paperback|Fatima M. D'Oyen | Abdelkader Chachi|2009|132|The Islamic Foundation,non-taxable,zero-rate
In the Prophet's Garden: A Selection of Ahadith for the young,"A thematically arranged anthology of Ahadith, sayings of the Prophet Muhammad (peace and blessings be upon him), fully illustrated with colour pictures of flowers and pictures from nature. Each hadith is taken from authentic collections in Arabic followed by a simple modern English translation which make the book easy to read and easy to understand.  Appropriate for home, madrasa and classroom use.",,Books->Children->Fiction - Read Aloud,10,4.95,4.95,4.95,0.31,,,,9.78086E+12,9780860373728.jpg,Paperback|Fatima M. D'Oyen | Abdelkader Chachi|2002|132|The Islamic Foundation|8+,non-taxable,zero-rate
Cinderella: An Islamic Tale,"Follow the trials and tribulations of the sweet, gentle and pious Zahra when her parents die and she is left with an uncaring stepmother. A well-crafted Islamic version of the classic Cinderella story, in which faith, goodness and prayer are rewarded in the end. ......this childrens book (ideal for ages 4-8) was definitely a refreshing, new take on one of the oldest stories in history. Islamic lessons are woven in nearly seamlessly and teach the reader that faith, goodness, and prayer are rewarded in the end. Complementing the story are its colorful storybook pages, simple and vibrant illustrations by artist Shireen Adams. This childrens storybook is ideal for parents who want to share traditional fairy tales with their children but teach Islamic values at the same time. ",,Books->Children->Fiction - Read Aloud,10,4.95,4.95,4.95,0.32,,,,9.78086E+12,9780860374732.jpg,Hardback|Fawzia Gilani|2011|44|The Islamic Foundation|5+,non-taxable,zero-rate
Husna and the Eid Party,"Everyone loves to be invited to an Eid party, so when Husna hears about Maryam's party she can't wait to get her invitation. Throughout the week Husna tries to get Maryam's attention to see if she can remind her, but, everytime she does, something gets in her way. Husna begins towonder if she'll ever be invited to Maryam's party. ",,Books->Children->Contemporary Fiction,10,3.5,3.5,3.5,0.3,,,,9.78086E+12,9780860374060.jpg,Hardback|Fawzia Gilani|2007|29|The Islamic Foundation|5+,non-taxable,zero-rate
The Lost Ring,"Rahma's family is preparing for eid and she has been looking forward to making samosas all week. Grandma, who is visiting, realises that her precious gold ring has gone missing. Suddenly, Rahma remembers wearing it while helping to make the Eid samosas. Will Rahma find her Grandma's precious ring? This is an engaging mystery story that also educates about the celebration of Eid-ul-Adha.",,Books->Hadith & Seerah,10,22.5,22.5,22.5,0.65,,,,9.78086E+12,9780860375654.jpg,Hardback|Fawzia Gilani|2007|29|The Islamic Foundation|5+,non-taxable,zero-rate
The War within Our Hearts,"The War within Our Hearts is not just another book about Muslim young people. It is a book written for young Muslims addressing issues they can relate to and in a language that is their own. Covering the key issues for young Muslims in the west today including dating, music, internet, this is a book everyone should have. It also has an introduction by Imam Zaid Shakir.",,Books->Hadith & Seerah,10,13.95,13.95,13.95,0.54,,,,9.78185E+12,9781847740120.jpg,Paperback|Habeeb Quadri | Saad Quadri|2009|204|Kube Publishing |14+,non-taxable,zero-rate
Sudan: The Christian Design,"Presents a Sudanese point of view of the history, role and dimension of Christian missionary activities in the Sudan and their impact during the period 1843 to 1986. ",,Books->Children->Young Adults (12+),10,4.99,4.99,4.99,0.36,,,,9.78086E+12,9780860371939.jpg,Paperback|Hassan Makki Mohamed Ahmed|1989|176|The Islamic Foundation,non-taxable,zero-rate
Rashid and the Haupmann Diamond,"Rashid and his friends witness a robbery at Mrs. Wilson's House, but police find no evidence of a breakin. The boy's investigation leads them to an old map marking the location of a precious diamond. But who will reach the diamond first? Family values, and friendship that cut accross ethnic and religious boundaries are highlighted in this fast-moving adventure.",,Books->General,10,4.5,4.5,4.5,0.31,,,,9.78086E+12,9780860373575.jpg,Paperback|Hassan Radwan|2002|112|The Islamic Foundation|10+,non-taxable,zero-rate
Rashid And The Missing Body,"Rashid and his mates learn about friendship, duty, and the importance of standing up for truth as they investigate the strange case of the missing body..",,Books->Hadith & Seerah,10,8.95,8.95,8.95,0.44,,,,9.78086E+12,9780860373957.jpg,Paperback|Hassan Radwan|2001|80|The Islamic Foundation|10+,non-taxable,zero-rate
Public Duties in Islam: The Institution of the Hisba,An exposition of the theory of Hisba in the wider context of a just society and an efficient market economy.,,Books->Children->Quran & Hadith,10,8.95,8.95,8.95,0.44,,,,9.78086E+12,9780860371137.jpg,Paperback|Ibn Taymiyyah|1982|160|The Islamic Foundation,non-taxable,zero-rate
Green Deen: What Islam Teaches About Protecting the Planet,"Muslims are compelled by their religion to praise their Creator, pray, fast and give charity. But what is not widely known is that there are deep and long-standing connections between Islamic teachings and environmentalism. In this ground breaking book, Ibrahim Abdul-Matin draws on research, scripture and interviews with Muslims to trace Islam&rsquo;s profound dedication to humankinds collective role as stewards of the Earth. Abdul-Matin points out that the Prophet Muhammad declared that the Earth is a mosque. Deen means path or way in Arabic. Abdul-Matin offers dozens of examples of how Muslims can follow, and already are following, a Green Deen in four areas: waste, watts (energy), water and food. At last, people of all beliefs can appreciate the gifts and contributions that Islam and Muslims bring to the environmental movement. Ibrahim Abdul-Matin's deep connection with Islam and the environment helps to make his book clear, easy to read, balanced and convincing. - Harfiyah Abdel Haleem, Islamic Foundation for Ecology and Environmental Sciences, UK. Ibrahim-Abdul Matin not only shows the myriad ways American Muslims are contributing to the resolution of the environmental crisis that threatens us all, but he goes a long way toward humanizing the Muslim community by sharing with the reader the lives of so many extraordinary, talented and visionary people. Imam Zaid Shakir, cofounder, Zaytuna Institute.  Green Deen shows how the authentic religious values and practices of Islam should lead to a wholesome, healthy and compassionate lifestyle that benefits all living things. Abdul-Matin writes in accessible, intelligent and motivating language, making this an excellent book for all readers. Ingrid Mattson, PhD, President, The Islamic Society of North America",,Books->The Quran,10,185,185,185,12.5,,,,9.78185E+12,9781847740403.jpg,Paperback|Ibrahim Abdul-Matin|2012|262|Kube Publishing ,non-taxable,zero-rate
Inner Dimensions of Islamic Worship,"Covers those dimensions of Islamic rituals of worship;Prayer, Almsgiving, Fasting, Pilgrimage, etc. which are essential to the fulfilment of inner quality. This book will be of immense help to countless young men and women of our times, who are rapidly growing in their commitment to Islam.",,Books->The Quran,10,185,185,185,0,,,,9.78086E+12,9780860371250.jpg,Paperback|Imam Al-Ghazali|1983|144|The Islamic Foundation,non-taxable,zero-rate
The Duties of Brotherhood in Islam,Al-Ghazali shows how brotherhood can be an aid to spiritual purification and a source of help and comfort in this world.,,Books->The Quran,10,11.95,11.95,11.95,0.9,,,,9.78086E+12,9780860370680.jpg,Paperback|Imam Al-Ghazali|1997|95|The Islamic Foundation,non-taxable,zero-rate
The Quran in Plain English: Part 30 Revised Edition 2009,"This newly revised, compact edition of the chapters of the Holy Quran that are most often memorized features an improved layout and font for easier reading, and is an ideal starter for children and teens. Rendered into contemporary, highly readable English with explanatory notes, glossary and a guide to further reading, it is highly recommended for homes, schools, libraries and madrasahs. ",,Books->The Quran,10,17.95,17.95,17.95,0.72,,,,9.78086E+12,9780860372332.jpg,Paperback|Iman Torres - Al Haneef|2009|236|The Islamic Foundation,non-taxable,zero-rate
The Quran in Plain English: Part 30 Revised Edition 2009,"This newly revised, compact edition of the chapters of the Holy Quran that are most often memorized features an improved layout and font for easier reading, and is an ideal starter for children and teens. Rendered into contemporary, highly readable English with explanatory notes, glossary and a guide to further reading, it is highly recommended for homes, schools, libraries and madrasahs. ",,Books->The Quran,10,11.95,11.95,11.95,0.58,,,,9.78086E+12,9780860372332.jpg,Paperback|Iman Torres - Al Haneef|2009|236|The Islamic Foundation,non-taxable,zero-rate
Islam & Other Faiths ,"Collected in this volume are the late Ismail al-Faruqi's articles written over a span of two decades which deal with Islam and other faiths, Christianity and Judaism in particular. The book provides a good cross-section of al-Faruqi's contribution to the study of comparative religion and covers a wide spectrum of inter-religious issues, including commonality and differences between Islam, Christianity and Judaism, Muslim and non-Muslim relations, and the issue of Mission and Dawah. A fascinating study by an engaging and challenging activist-scholar of our time. At the dawn of the twenty-first century, the relationship of Islam to other faiths has never been more important. Globalization and significant presence and force of Islam in the Muslim world and the West make civilizational dialogue an imperative. Ismail al-Faruqi provides a model to be emulated.</P>  <P>Professor John Esposito, Georgetown University, U.S.A. Published in association with the International Institute of Islamic Thought.",,Books->The Quran,10,11.95,11.95,11.95,0.74,,,,9.78086E+12,9780860372752.jpg,Hardback|Ismail Raji al-Faruqi|1998|400|The Islamic Foundation,non-taxable,zero-rate
Amiras Totally Chocolate World,"Amira loves chocolate so much that every night before she goes to sleep, she asks Allah to make everything chocolate. On Eid ul-Fitr, she wakes up to find a totally chocolate world!  Chocolate.  undeniably irresistible, and in one form or another adored by many. If you appreciate the value of chocolate then join Amira in her Totally Chocolate World <p>Review</p>  <p>""...This is a story that is just right for new readers, with steady text and just enough repitition. Make sure you have some chocolate on hand-the story and illustrations just might make readers hungry."" Teresa Scollon, ForeWord Reviews, May/June 2010</p>",,Books->The Quran,10,17.95,17.95,17.95,0.84,,,,9.78086E+12,9780860374084.jpg,Hardback|J. S. Mair|2009|24|The Islamic Foundation|3+,non-taxable,zero-rate
The Perfect Gift,"Sarah is upset because she cannot find an Eid gift for her mother. She decides to take a walk along her secret path in the woods. There, she not only finds the perfect gift, but also learns to appreciate nature. A Perfect gift-  would only be suitable for someone as special as a mother. Read about the creativity of a young girl and how, with a little imagination she finds a gift that is just perfect!",,Books->The Quran,10,11.95,11.95,11.95,0.72,,,,9.78086E+12,9780860374039.jpg,Hardback|J. S. Mair|2009|28|The Islamic Foundation|5+,non-taxable,zero-rate
"Image of the Prophet Muhammad in the West: A Study of Muir, Margoliouth and Watt","Brings out the main contours of Western scholarship on the life and achievements of the Prophet Muhammad (pbuh). Highlights the reason why Western scholars have failed to provide an objective account of the life of the Prophet in the past and brings into focus the urgent need to understand Islam and the life of the Prophet from an objective and scholarly perspective. ""Jabal Muhammad Buaben's work is an impressive scholarly enterprise… he has done much to reorient the path of Muslim scholarship'. Impact International",,Books->The Quran,10,17.95,17.95,17.95,0.85,,,,9.78086E+12,9780860372608.jpg,Hardback|Jabal M Buaben|1996|416|The Islamic Foundation,non-taxable,zero-rate
"Image of the Prophet Muhammad in the West: A Study of Muir, Margoliouth and Watt","Brings out the main contours of Western scholarship on the life and achievements of the Prophet Muhammad (pbuh). Highlights the reason why Western scholars have failed to provide an objective account of the life of the Prophet in the past and brings into focus the urgent need to understand Islam and the life of the Prophet from an objective and scholarly perspective. ""Jabal Muhammad Buaben's work is an impressive scholarly enterprise… he has done much to reorient the path of Muslim scholarship'. Impact International",,Books->The Quran,10,11.95,11.95,11.95,0.77,,,,9.78086E+12,9780860372615.jpg,Paperback|Jabal M Buaben|1996|416|The Islamic Foundation,non-taxable,zero-rate
The Victory Boys ,"Junayd and his friends think madrasa is a waste of time, and older brother Saleem is fast becoming the black sheep of the family. That is, until the Imam of the mosque initiates an extra-curricular project outside his comfort zone. But can faith and football flourish side-by-side? <p>Visit the official book blog: <a title=""The Official Victory Boys Blog"" href=""http://thevictoryboys.com/"" target=""_blank"">thevictoryboys.com</a></p>  <p><span style=""font-family: mceinline; font-size: small;"">Watch the book trailer on <a href=""http://www.youtube.com/watch?v=oSpK6-fNiSQ"" target=""_blank"">Youtube</a>!</span></p>",,Books->The Quran,10,17.95,17.95,17.95,0.89,,,,9.78086E+12,9780860374145.jpg,Paperback|Jamal Orme|2011|98|The Islamic Foundation|10+,non-taxable,zero-rate
Splitting the Moon: A Collection of Islamic Poetry ,"Splitting the Moon, Joel Hayward's second major collection, includes poems about his conversion to Islam from Christianity, his journey of faith, his experiences and observations as a British Muslim, and thoughts on the state of Muslims today. The poems are deeply personal, reflecting upon the ever-changing world around us.",,Books->The Quran,10,11.95,11.95,11.95,0.78,,,,9.78185E+12,9781847740342.jpg,Paperback|Joel Hayward|2012|108|Kube Publishing ,non-taxable,zero-rate
A Caring Neighbour,A lovely story which illustrates for young children the importance of helping one's neighbour. Full colour illustrations.,,Books->The Quran,10,17.95,17.95,17.95,0.79,,,,9.78086E+12,9780860372653.jpg,Paperback|Karema Bouroubi|1996|24|The Islamic Foundation|3+,non-taxable,zero-rate
Heavenly Bites: The Best of Muslim Home Cooking ,"Heavenly Bites is the first multinational Muslim cookbook that features the best of Muslim cooking to be found from Morocco to Bangladesh, which is all par of the dynamic food culture of modern-day Muslim London, served up by Karimah bint Dawood, the TV presenter, cook and convert to Islam. With the ever-growing popularity of ""Eastern"" cooking in the Western world, this book assembles together some of the best-loved dishes, featuring 50 recipes for soups, salads, snacks and starters, smoothies, main courses and sweets. If you want to expand your cooking skillsor learn some new dishes from your Muslim neighbours or you simply want to learn more about the international tastes of the Muslim world, then this is the ideal cookbook for you. First Muslim cookbook, based on the best of Muslim cooking from Morocco to Bangladesh to be found in Muslim London. 50 recipes: soups, salads, snacks and starters, smoothies, main courses, marinades and sweets. Full of stories about food culture and cuisine in Muslim communities. Health tips. Cultural and religious wisdom about food and cuisine. Humourous and personal anecdotes about cuisine and culture. Easy step-by-step instructions. Fully illustrated. Measurements in metric and imperial, UK and US measurements.",,Books->The Quran,10,11.95,11.95,11.95,0.7,,,,9.78185E+12,9781847740311.jpg,Paperback|Karimah bint Dawood|2011|72|Kube Publishing ,non-taxable,zero-rate
The Muslim All-Stars: Helping the Polonsky's ,"Mr Polonsky, an angry old man, is desperate for help. His house is a mess and it needs cleaning before his wife returns home from a major operation. As a last resort he puts an advert in a local shop. A group of Muslim children come together to clean-up, but with time running out and a bigger mess than they had imagined ... can they succeed?  Khaleel Muhammad is a well-known singer of nasheeds (Islamic songs). He has also written and produced his own successful audio adventure, The Adventures of Hakim. This is his first children's book. 16 full-colour Manga-style illustrations",,Books->The Quran,10,17.95,17.95,17.95,0.84,,,,9.78086E+12,9780860374541.jpg,Paperback|Khaleel Muhammad|2012|67|The Islamic Foundation|7+,non-taxable,zero-rate
